"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-06","Canada","2016A000011124","Employment","Both sexes","15 years and over","Persons","249","thousands","3","v2091072","1.3.1.1","20845.0","","","","1"
"2024-07","Canada","2016A000011124","Employment","Both sexes","15 years and over","Persons","249","thousands","3","v2091072","1.3.1.1","20716.4","","","","1"
"2024-08","Canada","2016A000011124","Employment","Both sexes","15 years and over","Persons","249","thousands","3","v2091072","1.3.1.1","20691.6","","","","1"
"2024-09","Canada","2016A000011124","Employment","Both sexes","15 years and over","Persons","249","thousands","3","v2091072","1.3.1.1","20647.2","","","","1"
"2024-10","Canada","2016A000011124","Employment","Both sexes","15 years and over","Persons","249","thousands","3","v2091072","1.3.1.1","20678.0","","","","1"
"2024-06","Canada","2016A000011124","Employment","Both sexes","15 to 24 years","Persons","249","thousands","3","v2091073","1.3.1.2","2902.2","","","","1"
"2024-07","Canada","2016A000011124","Employment","Both sexes","15 to 24 years","Persons","249","thousands","3","v2091073","1.3.1.2","3060.8","","","","1"
"2024-08","Canada","2016A000011124","Employment","Both sexes","15 to 24 years","Persons","249","thousands","3","v2091073","1.3.1.2","3007.3","","","","1"
"2024-09","Canada","2016A000011124","Employment","Both sexes","15 to 24 years","Persons","249","thousands","3","v2091073","1.3.1.2","2639.3","","","","1"
"2024-10","Canada","2016A000011124","Employment","Both sexes","15 to 24 years","Persons","249","thousands","3","v2091073","1.3.1.2","2684.5","","","","1"
"2024-06","Canada","2016A000011124","Employment","Both sexes","25 years and over","Persons","249","thousands","3","v2091074","1.3.1.3","17942.8","","","","1"
"2024-07","Canada","2016A000011124","Employment","Both sexes","25 years and over","Persons","249","thousands","3","v2091074","1.3.1.3","17655.5","","","","1"
"2024-08","Canada","2016A000011124","Employment","Both sexes","25 years and over","Persons","249","thousands","3","v2091074","1.3.1.3","17684.3","","","","1"
"2024-09","Canada","2016A000011124","Employment","Both sexes","25 years and over","Persons","249","thousands","3","v2091074","1.3.1.3","18007.9","","","","1"
"2024-10","Canada","2016A000011124","Employment","Both sexes","25 years and over","Persons","249","thousands","3","v2091074","1.3.1.3","17993.5","","","","1"
"2024-06","Canada","2016A000011124","Employment","Both sexes","25 to 44 years","Persons","249","thousands","3","v2091075","1.3.1.4","9441.7","","","","1"
"2024-07","Canada","2016A000011124","Employment","Both sexes","25 to 44 years","Persons","249","thousands","3","v2091075","1.3.1.4","9407.0","","","","1"
"2024-08","Canada","2016A000011124","Employment","Both sexes","25 to 44 years","Persons","249","thousands","3","v2091075","1.3.1.4","9421.7","","","","1"
"2024-09","Canada","2016A000011124","Employment","Both sexes","25 to 44 years","Persons","249","thousands","3","v2091075","1.3.1.4","9561.4","","","","1"
"2024-10","Canada","2016A000011124","Employment","Both sexes","25 to 44 years","Persons","249","thousands","3","v2091075","1.3.1.4","9545.1","","","","1"
"2024-06","Canada","2016A000011124","Employment","Both sexes","45 to 64 years","Persons","249","thousands","3","v19650588","1.3.1.22","7383.0","","","","1"
"2024-07","Canada","2016A000011124","Employment","Both sexes","45 to 64 years","Persons","249","thousands","3","v19650588","1.3.1.22","7168.0","","","","1"
"2024-08","Canada","2016A000011124","Employment","Both sexes","45 to 64 years","Persons","249","thousands","3","v19650588","1.3.1.22","7178.6","","","","1"
"2024-09","Canada","2016A000011124","Employment","Both sexes","45 to 64 years","Persons","249","thousands","3","v19650588","1.3.1.22","7349.8","","","","1"
"2024-10","Canada","2016A000011124","Employment","Both sexes","45 to 64 years","Persons","249","thousands","3","v19650588","1.3.1.22","7359.7","","","","1"
"2024-06","Canada","2016A000011124","Employment","Both sexes","45 years and over","Persons","249","thousands","3","v2091076","1.3.1.5","8501.1","","","","1"
"2024-07","Canada","2016A000011124","Employment","Both sexes","45 years and over","Persons","249","thousands","3","v2091076","1.3.1.5","8248.5","","","","1"
"2024-08","Canada","2016A000011124","Employment","Both sexes","45 years and over","Persons","249","thousands","3","v2091076","1.3.1.5","8262.5","","","","1"
"2024-09","Canada","2016A000011124","Employment","Both sexes","45 years and over","Persons","249","thousands","3","v2091076","1.3.1.5","8446.4","","","","1"
"2024-10","Canada","2016A000011124","Employment","Both sexes","45 years and over","Persons","249","thousands","3","v2091076","1.3.1.5","8448.4","","","","1"
"2024-06","Canada","2016A000011124","Employment","Both sexes","25 to 54 years","Persons","249","thousands","3","v2091077","1.3.1.6","13509.6","","","","1"
"2024-07","Canada","2016A000011124","Employment","Both sexes","25 to 54 years","Persons","249","thousands","3","v2091077","1.3.1.6","13376.4","","","","1"
"2024-08","Canada","2016A000011124","Employment","Both sexes","25 to 54 years","Persons","249","thousands","3","v2091077","1.3.1.6","13400.6","","","","1"
"2024-09","Canada","2016A000011124","Employment","Both sexes","25 to 54 years","Persons","249","thousands","3","v2091077","1.3.1.6","13629.7","","","","1"
"2024-10","Canada","2016A000011124","Employment","Both sexes","25 to 54 years","Persons","249","thousands","3","v2091077","1.3.1.6","13608.9","","","","1"
"2024-06","Canada","2016A000011124","Employment","Both sexes","55 years and over","Persons","249","thousands","3","v2091078","1.3.1.7","4433.2","","","","1"
"2024-07","Canada","2016A000011124","Employment","Both sexes","55 years and over","Persons","249","thousands","3","v2091078","1.3.1.7","4279.2","","","","1"
"2024-08","Canada","2016A000011124","Employment","Both sexes","55 years and over","Persons","249","thousands","3","v2091078","1.3.1.7","4283.7","","","","1"
"2024-09","Canada","2016A000011124","Employment","Both sexes","55 years and over","Persons","249","thousands","3","v2091078","1.3.1.7","4378.2","","","","1"
"2024-10","Canada","2016A000011124","Employment","Both sexes","55 years and over","Persons","249","thousands","3","v2091078","1.3.1.7","4384.6","","","","1"
"2024-06","Canada","2016A000011124","Employment","Both sexes","15 to 64 years","Persons","249","thousands","3","v2091079","1.3.1.8","19726.9","","","","1"
"2024-07","Canada","2016A000011124","Employment","Both sexes","15 to 64 years","Persons","249","thousands","3","v2091079","1.3.1.8","19635.8","","","","1"
"2024-08","Canada","2016A000011124","Employment","Both sexes","15 to 64 years","Persons","249","thousands","3","v2091079","1.3.1.8","19607.6","","","","1"
"2024-09","Canada","2016A000011124","Employment","Both sexes","15 to 64 years","Persons","249","thousands","3","v2091079","1.3.1.8","19550.6","","","","1"
"2024-10","Canada","2016A000011124","Employment","Both sexes","15 to 64 years","Persons","249","thousands","3","v2091079","1.3.1.8","19589.3","","","","1"
"2024-06","Canada","2016A000011124","Employment","Both sexes","15 to 19 years","Persons","249","thousands","3","v2091080","1.3.1.9","969.5","","","","1"
"2024-07","Canada","2016A000011124","Employment","Both sexes","15 to 19 years","Persons","249","thousands","3","v2091080","1.3.1.9","1058.3","","","","1"
"2024-08","Canada","2016A000011124","Employment","Both sexes","15 to 19 years","Persons","249","thousands","3","v2091080","1.3.1.9","1043.7","","","","1"
"2024-09","Canada","2016A000011124","Employment","Both sexes","15 to 19 years","Persons","249","thousands","3","v2091080","1.3.1.9","798.4","","","","1"
"2024-10","Canada","2016A000011124","Employment","Both sexes","15 to 19 years","Persons","249","thousands","3","v2091080","1.3.1.9","802.5","","","","1"
"2024-06","Canada","2016A000011124","Employment","Both sexes","20 to 24 years","Persons","249","thousands","3","v2091081","1.3.1.10","1932.6","","","","1"
